 Title:, Report generated using easywire version: 2020.1.0.7085

 Operator:, Line Supervisor
 S/N:, 03AA0B0071
 Final Test Result:, Passed
 Run Number:, 631
 Cable Number:, 1
 Station ID:, CIRRIS 1
 Test Date:, 11/4/2025
 Test Time:, 9:47:06 AM
 Retry Count:, 0
 Test Name:, 11989-0312-Resistance Inverted Rev A

 Title:, Error Details

 #, Type, From Points, To Points, Expected 1, Measured 1, Expected 2, Measured 2, Instruction Detail

 Title:, Measured Values

 #, Instruction Type, From Points, To Points, Value Measured, Value Expected, Measured Detail
 1, LUA COMPONENT, , , 1.000, , (Prompt 1) Scan Barcode for Process#-Description: 17b
 232, 4WIRE, A1-P2 (F33), D1-P2 (F33), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 233, 4WIRE, A3-P2 (F34), B3-P2 (F34), 108 mOhm, 500 mOhm, Measured 108 mOhm 
 234, 4WIRE, A3-P2 (F34), C3-P2 (F34), 118 mOhm, 500 mOhm, Measured 118 mOhm 
 235, 4WIRE, A3-P2 (F34), D3-P2 (F34), 109 mOhm, 500 mOhm, Measured 109 mOhm 
 236, 4WIRE, A6-P2 (F35), B6-P2 (F35), 100 mOhm, 500 mOhm, Measured 100 mOhm 
 237, 4WIRE, A6-P2 (F35), C6-P2 (F35), 100 mOhm, 500 mOhm, Measured 100 mOhm 
 238, 4WIRE, A6-P2 (F35), D6-P2 (F35), 115 mOhm, 500 mOhm, Measured 115 mOhm 
 239, 4WIRE, A8-P2 (F36), B8-P2 (F36), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 240, 4WIRE, A8-P2 (F36), C8-P2 (F36), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 241, 4WIRE, A8-P2 (F36), D8-P2 (F36), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 242, 4WIRE, A12-P2 (F37), B12-P2 (F37), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 243, 4WIRE, A12-P2 (F37), C12-P2 (F37), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 244, 4WIRE, A12-P2 (F37), D12-P2 (F37), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 245, 4WIRE, A14-P2 (F38), B14-P2 (F38), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 246, 4WIRE, A14-P2 (F38), C14-P2 (F38), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 247, 4WIRE, A14-P2 (F38), D14-P2 (F38), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 248, 4WIRE, A17-P2 (F39), B17-P2 (F39), 70 mOhm, 500 mOhm, Measured 70 mOhm 
 249, 4WIRE, A17-P2 (F39), C17-P2 (F39), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 250, 4WIRE, A17-P2 (F39), D17-P2 (F39), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 251, 4WIRE, A19-P2 (F40), B19-P2 (F40), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 252, 4WIRE, A19-P2 (F40), C19-P2 (F40), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 253, 4WIRE, A19-P2 (F40), D19-P2 (F40), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 254, 4WIRE, A23-P2 (F41), B23-P2 (F41), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 255, 4WIRE, A23-P2 (F41), C23-P2 (F41), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 256, 4WIRE, A23-P2 (F41), D23-P2 (F41), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 257, 4WIRE, A25-P2 (F42), B25-P2 (F42), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 258, 4WIRE, A25-P2 (F42), C25-P2 (F42), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 259, 4WIRE, A25-P2 (F42), D25-P2 (F42), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 260, 4WIRE, A28-P2 (F43), B28-P2 (F43), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 261, 4WIRE, A28-P2 (F43), C28-P2 (F43), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 262, 4WIRE, A28-P2 (F43), D28-P2 (F43), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 263, 4WIRE, A30-P2 (F44), B30-P2 (F44), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 264, 4WIRE, A30-P2 (F44), C30-P2 (F44), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 265, 4WIRE, A30-P2 (F44), D30-P2 (F44), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 266, 4WIRE, A34-P2 (F45), B34-P2 (F45), 71 mOhm, 500 mOhm, Measured 71 mOhm 
 267, 4WIRE, A34-P2 (F45), C34-P2 (F45), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 268, 4WIRE, A34-P2 (F45), D34-P2 (F45), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 269, 4WIRE, A36-P2 (F46), B36-P2 (F46), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 270, 4WIRE, A36-P2 (F46), C36-P2 (F46), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 271, 4WIRE, A36-P2 (F46), D36-P2 (F46), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 272, 4WIRE, A39-P2 (F47), B39-P2 (F47), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 273, 4WIRE, A39-P2 (F47), C39-P2 (F47), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 274, 4WIRE, A39-P2 (F47), D39-P2 (F47), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 275, 4WIRE, A41-P2 (F48), B41-P2 (F48), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 276, 4WIRE, A41-P2 (F48), C41-P2 (F48), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 277, 4WIRE, A41-P2 (F48), D41-P2 (F48), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 278, 4WIRE, A46-P2 (F49), C46-P2 (F49), 96 mOhm, 500 mOhm, Measured 96 mOhm 
 279, 4WIRE, A46-P2 (F49), D46-P2 (F49), 94 mOhm, 500 mOhm, Measured 94 mOhm 
 280, 4WIRE, A48-P2 (F50), B48-P2 (F50), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 281, 4WIRE, A48-P2 (F50), C48-P2 (F50), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 282, 4WIRE, A48-P2 (F50), D48-P2 (F50), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 283, 4WIRE, A51-P2 (F51), B51-P2 (F51), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 284, 4WIRE, A51-P2 (F51), C51-P2 (F51), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 285, 4WIRE, A51-P2 (F51), D51-P2 (F51), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 286, 4WIRE, A53-P2 (F52), B53-P2 (F52), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 287, 4WIRE, A53-P2 (F52), C53-P2 (F52), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 288, 4WIRE, A53-P2 (F52), D53-P2 (F52), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 289, 4WIRE, A57-P2 (F53), B57-P2 (F53), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 290, 4WIRE, A57-P2 (F53), C57-P2 (F53), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 291, 4WIRE, A57-P2 (F53), D57-P2 (F53), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 292, 4WIRE, A59-P2 (F54), B59-P2 (F54), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 293, 4WIRE, A59-P2 (F54), C59-P2 (F54), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 294, 4WIRE, A59-P2 (F54), D59-P2 (F54), 118 mOhm, 500 mOhm, Measured 118 mOhm 
 295, 4WIRE, A62-P2 (F55), B62-P2 (F55), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 296, 4WIRE, A62-P2 (F55), C62-P2 (F55), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 297, 4WIRE, A62-P2 (F55), D62-P2 (F55), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 298, 4WIRE, A64-P2 (F56), B64-P2 (F56), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 299, 4WIRE, A64-P2 (F56), C64-P2 (F56), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 300, 4WIRE, A64-P2 (F56), D64-P2 (F56), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 301, 4WIRE, A68-P2 (F57), B68-P2 (F57), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 302, 4WIRE, A68-P2 (F57), C68-P2 (F57), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 303, 4WIRE, A68-P2 (F57), D68-P2 (F57), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 304, 4WIRE, A70-P2 (F58), B70-P2 (F58), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 305, 4WIRE, A70-P2 (F58), C70-P2 (F58), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 306, 4WIRE, A70-P2 (F58), D70-P2 (F58), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 307, 4WIRE, A73-P2 (F59), B73-P2 (F59), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 308, 4WIRE, A73-P2 (F59), C73-P2 (F59), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 309, 4WIRE, A73-P2 (F59), D73-P2 (F59), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 310, 4WIRE, A75-P2 (F60), B75-P2 (F60), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 311, 4WIRE, A75-P2 (F60), C75-P2 (F60), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 312, 4WIRE, A75-P2 (F60), D75-P2 (F60), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 313, 4WIRE, A79-P2 (F61), B79-P2 (F61), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 314, 4WIRE, A79-P2 (F61), C79-P2 (F61), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 315, 4WIRE, A79-P2 (F61), D79-P2 (F61), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 316, 4WIRE, A81-P2 (F62), B81-P2 (F62), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 317, 4WIRE, A81-P2 (F62), C81-P2 (F62), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 318, 4WIRE, A81-P2 (F62), D81-P2 (F62), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 319, 4WIRE, A84-P2 (F63), B84-P2 (F63), 97 mOhm, 500 mOhm, Measured 97 mOhm 
 320, 4WIRE, A84-P2 (F63), C84-P2 (F63), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 321, 4WIRE, A84-P2 (F63), D84-P2 (F63), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 322, 4WIRE, A86-P2 (F64), B86-P2 (F64), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 323, 4WIRE, A86-P2 (F64), C86-P2 (F64), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 324, 4WIRE, A86-P2 (F64), D86-P2 (F64), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 325, 4WIRE, A2-P1 (R1), B2-P1 (R1), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 326, 4WIRE, A2-P1 (R1), C2-P1 (R1), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 327, 4WIRE, A2-P1 (R1), D2-P1 (R1), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 328, 4WIRE, A4-P1 (R2), B4-P1 (R2), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 329, 4WIRE, A4-P1 (R2), C4-P1 (R2), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 330, 4WIRE, A4-P1 (R2), D4-P1 (R2), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 331, 4WIRE, A7-P1 (R3), B7-P1 (R3), 102 mOhm, 500 mOhm, Measured 102 mOhm 
 332, 4WIRE, A7-P1 (R3), C7-P1 (R3), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 333, 4WIRE, A7-P1 (R3), D7-P1 (R3), 92 mOhm, 500 mOhm, Measured 92 mOhm 
 334, 4WIRE, A9-P1 (R4), B9-P1 (R4), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 335, 4WIRE, A9-P1 (R4), C9-P1 (R4), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 336, 4WIRE, A9-P1 (R4), D9-P1 (R4), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 337, 4WIRE, A13-P1 (R5), B13-P1 (R5), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 338, 4WIRE, A13-P1 (R5), C13-P1 (R5), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 339, 4WIRE, A13-P1 (R5), D13-P1 (R5), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 340, 4WIRE, A15-P1 (R6), B15-P1 (R6), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 341, 4WIRE, A15-P1 (R6), C15-P1 (R6), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 342, 4WIRE, A15-P1 (R6), D15-P1 (R6), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 343, 4WIRE, A18-P1 (R7), B18-P1 (R7), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 344, 4WIRE, A18-P1 (R7), C18-P1 (R7), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 345, 4WIRE, A18-P1 (R7), D18-P1 (R7), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 346, 4WIRE, A20-P1 (R8), B20-P1 (R8), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 347, 4WIRE, A20-P1 (R8), C20-P1 (R8), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 348, 4WIRE, A20-P1 (R8), D20-P1 (R8), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 349, 4WIRE, A24-P1 (R9), B24-P1 (R9), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 350, 4WIRE, A24-P1 (R9), C24-P1 (R9), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 351, 4WIRE, A24-P1 (R9), D24-P1 (R9), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 352, 4WIRE, A26-P1 (R10), B26-P1 (R10), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 353, 4WIRE, A26-P1 (R10), C26-P1 (R10), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 354, 4WIRE, A26-P1 (R10), D26-P1 (R10), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 355, 4WIRE, A29-P1 (R11), B29-P1 (R11), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 356, 4WIRE, A29-P1 (R11), C29-P1 (R11), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 357, 4WIRE, A29-P1 (R11), D29-P1 (R11), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 358, 4WIRE, A31-P1 (R12), B31-P1 (R12), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 359, 4WIRE, A31-P1 (R12), C31-P1 (R12), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 360, 4WIRE, A31-P1 (R12), D31-P1 (R12), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 361, 4WIRE, A35-P1 (R13), B35-P1 (R13), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 362, 4WIRE, A35-P1 (R13), C35-P1 (R13), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 363, 4WIRE, A35-P1 (R13), D35-P1 (R13), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 364, 4WIRE, A37-P1 (R14), B37-P1 (R14), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 365, 4WIRE, A37-P1 (R14), C37-P1 (R14), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 366, 4WIRE, A37-P1 (R14), D37-P1 (R14), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 367, 4WIRE, A40-P1 (R15), B40-P1 (R15), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 368, 4WIRE, A40-P1 (R15), C40-P1 (R15), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 369, 4WIRE, A40-P1 (R15), D40-P1 (R15), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 370, 4WIRE, A42-P1 (R16), B42-P1 (R16), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 371, 4WIRE, A42-P1 (R16), C42-P1 (R16), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 372, 4WIRE, A42-P1 (R16), D42-P1 (R16), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 373, 4WIRE, A47-P1 (R17), B47-P1 (R17), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 374, 4WIRE, A47-P1 (R17), C47-P1 (R17), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 375, 4WIRE, A47-P1 (R17), D47-P1 (R17), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 376, 4WIRE, A49-P1 (R18), B49-P1 (R18), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 377, 4WIRE, A49-P1 (R18), C49-P1 (R18), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 378, 4WIRE, A49-P1 (R18), D49-P1 (R18), 87 mOhm, 500 mOhm, Measured 87 mOhm 
 379, 4WIRE, A52-P1 (R19), B52-P1 (R19), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 380, 4WIRE, A52-P1 (R19), C52-P1 (R19), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 381, 4WIRE, A52-P1 (R19), D52-P1 (R19), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 382, 4WIRE, A54-P1 (R20), B54-P1 (R20), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 383, 4WIRE, A54-P1 (R20), C54-P1 (R20), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 384, 4WIRE, A54-P1 (R20), D54-P1 (R20), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 385, 4WIRE, A58-P1 (R21), B58-P1 (R21), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 386, 4WIRE, A58-P1 (R21), C58-P1 (R21), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 387, 4WIRE, A58-P1 (R21), D58-P1 (R21), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 388, 4WIRE, A60-P1 (R22), B60-P1 (R22), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 389, 4WIRE, A60-P1 (R22), C60-P1 (R22), 78 mOhm, 500 mOhm, Measured 78 mOhm 
 390, 4WIRE, A60-P1 (R22), D60-P1 (R22), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 391, 4WIRE, A63-P1 (R23), B63-P1 (R23), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 392, 4WIRE, A63-P1 (R23), C63-P1 (R23), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 393, 4WIRE, A63-P1 (R23), D63-P1 (R23), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 394, 4WIRE, A65-P1 (R24), B65-P1 (R24), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 395, 4WIRE, A65-P1 (R24), C65-P1 (R24), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 396, 4WIRE, A65-P1 (R24), D65-P1 (R24), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 397, 4WIRE, A69-P1 (R25), B69-P1 (R25), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 398, 4WIRE, A69-P1 (R25), C69-P1 (R25), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 399, 4WIRE, A69-P1 (R25), D69-P1 (R25), 86 mOhm, 500 mOhm, Measured 86 mOhm 
 400, 4WIRE, A71-P1 (R26), B71-P1 (R26), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 401, 4WIRE, A71-P1 (R26), C71-P1 (R26), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 402, 4WIRE, A71-P1 (R26), D71-P1 (R26), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 403, 4WIRE, A74-P1 (R27), B74-P1 (R27), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 404, 4WIRE, A74-P1 (R27), C74-P1 (R27), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 405, 4WIRE, A74-P1 (R27), D74-P1 (R27), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 406, 4WIRE, A76-P1 (R28), B76-P1 (R28), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 407, 4WIRE, A76-P1 (R28), C76-P1 (R28), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 408, 4WIRE, A76-P1 (R28), D76-P1 (R28), 88 mOhm, 500 mOhm, Measured 88 mOhm 
 409, 4WIRE, A80-P1 (R29), B80-P1 (R29), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 410, 4WIRE, A80-P1 (R29), C80-P1 (R29), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 411, 4WIRE, A80-P1 (R29), D80-P1 (R29), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 412, 4WIRE, A82-P1 (R30), B82-P1 (R30), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 413, 4WIRE, A82-P1 (R30), C82-P1 (R30), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 414, 4WIRE, A82-P1 (R30), D82-P1 (R30), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 415, 4WIRE, A85-P1 (R31), B85-P1 (R31), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 416, 4WIRE, A85-P1 (R31), C85-P1 (R31), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 417, 4WIRE, A85-P1 (R31), D85-P1 (R31), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 418, 4WIRE, A87-P1 (R32), B87-P1 (R32), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 419, 4WIRE, A87-P1 (R32), C87-P1 (R32), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 420, 4WIRE, A87-P1 (R32), D87-P1 (R32), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 421, 4WIRE, A2-P2 (R33), B2-P2 (R33), 84 mOhm, 500 mOhm, Measured 84 mOhm 
 422, 4WIRE, A2-P2 (R33), C2-P2 (R33), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 423, 4WIRE, A2-P2 (R33), D2-P2 (R33), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 424, 4WIRE, A4-P2 (R34), B4-P2 (R34), 91 mOhm, 500 mOhm, Measured 91 mOhm 
 425, 4WIRE, A4-P2 (R34), C4-P2 (R34), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 426, 4WIRE, A4-P2 (R34), D4-P2 (R34), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 427, 4WIRE, A7-P2 (R35), B7-P2 (R35), 111 mOhm, 500 mOhm, Measured 111 mOhm 
 428, 4WIRE, A7-P2 (R35), C7-P2 (R35), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 429, 4WIRE, A7-P2 (R35), D7-P2 (R35), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 430, 4WIRE, A9-P2 (R36), B9-P2 (R36), 90 mOhm, 500 mOhm, Measured 90 mOhm 
 431, 4WIRE, A9-P2 (R36), C9-P2 (R36), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 432, 4WIRE, A9-P2 (R36), D9-P2 (R36), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 433, 4WIRE, A13-P2 (R37), B13-P2 (R37), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 434, 4WIRE, A13-P2 (R37), C13-P2 (R37), 77 mOhm, 500 mOhm, Measured 77 mOhm 
 435, 4WIRE, A13-P2 (R37), D13-P2 (R37), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 436, 4WIRE, A15-P2 (R38), B15-P2 (R38), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 437, 4WIRE, A15-P2 (R38), C15-P2 (R38), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 438, 4WIRE, A15-P2 (R38), D15-P2 (R38), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 439, 4WIRE, A18-P2 (R39), B18-P2 (R39), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 440, 4WIRE, A18-P2 (R39), C18-P2 (R39), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 441, 4WIRE, A18-P2 (R39), D18-P2 (R39), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 442, 4WIRE, A20-P2 (R40), B20-P2 (R40), 71 mOhm, 500 mOhm, Measured 71 mOhm 
 443, 4WIRE, A20-P2 (R40), C20-P2 (R40), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 444, 4WIRE, A20-P2 (R40), D20-P2 (R40), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 445, 4WIRE, A24-P2 (R41), B24-P2 (R41), 105 mOhm, 500 mOhm, Measured 105 mOhm 
 446, 4WIRE, A24-P2 (R41), C24-P2 (R41), 89 mOhm, 500 mOhm, Measured 89 mOhm 
 447, 4WIRE, A24-P2 (R41), D24-P2 (R41), 93 mOhm, 500 mOhm, Measured 93 mOhm 
 448, 4WIRE, A26-P2 (R42), B26-P2 (R42), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 449, 4WIRE, A26-P2 (R42), C26-P2 (R42), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 450, 4WIRE, A26-P2 (R42), D26-P2 (R42), 83 mOhm, 500 mOhm, Measured 83 mOhm 
 451, 4WIRE, A29-P2 (R43), B29-P2 (R43), 82 mOhm, 500 mOhm, Measured 82 mOhm 
 452, 4WIRE, A29-P2 (R43), C29-P2 (R43), 80 mOhm, 500 mOhm, Measured 80 mOhm 
 453, 4WIRE, A29-P2 (R43), D29-P2 (R43), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 454, 4WIRE, A31-P2 (R44), B31-P2 (R44), 81 mOhm, 500 mOhm, Measured 81 mOhm 
 455, 4WIRE, A31-P2 (R44), C31-P2 (R44), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 456, 4WIRE, A31-P2 (R44), D31-P2 (R44), 85 mOhm, 500 mOhm, Measured 85 mOhm 
 457, 4WIRE, A35-P2 (R45), B35-P2 (R45), 72 mOhm, 500 mOhm, Measured 72 mOhm 
 458, 4WIRE, A35-P2 (R45), C35-P2 (R45), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 459, 4WIRE, A35-P2 (R45), D35-P2 (R45), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 460, 4WIRE, A37-P2 (R46), B37-P2 (R46), 75 mOhm, 500 mOhm, Measured 75 mOhm 
 461, 4WIRE, A37-P2 (R46), C37-P2 (R46), 74 mOhm, 500 mOhm, Measured 74 mOhm 
 462, 4WIRE, A37-P2 (R46), D37-P2 (R46), 79 mOhm, 500 mOhm, Measured 79 mOhm 
 463, 4WIRE, A40-P2 (R47), B40-P2 (R47), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 464, 4WIRE, A40-P2 (R47), C40-P2 (R47), 73 mOhm, 500 mOhm, Measured 73 mOhm 
 465, 4WIRE, A40-P2 (R47), D40-P2 (R47), 76 mOhm, 500 mOhm, Measured 76 mOhm 
 466, 4WIRE, A42-P2 (R48), B42-P2 (R48), 78 mOhm, 500 mOhm, Measured 78 mOhm 
